  # Network Traffic Monitor Sample Log
  # Format: src_ip,dst_ip,src_port,dst_port,protocol,flags
  192.168.1.10,10.0.0.1,52100,80,TCP,SYN
  192.168.1.10,10.0.0.1,52101,80,TCP,ACK
  192.168.1.10,10.0.0.1,52102,443,TCP,SYN
  192.168.1.20,10.0.0.1,48200,53,UDP,
  192.168.1.20,10.0.0.1,48201,53,UDP,
  10.0.1.99,10.0.0.5,61000,22,TCP,SYN
  10.0.1.99,10.0.0.5,61001,23,TCP,SYN
  10.0.1.99,10.0.0.5,61002,25,TCP,SYN
  10.0.1.99,10.0.0.5,61003,80,TCP,SYN
  10.0.1.99,10.0.0.5,61004,443,TCP,SYN
  10.0.1.99,10.0.0.5,61005,3306,TCP,SYN
  10.0.1.99,10.0.0.5,61006,5432,TCP,SYN
  10.0.1.99,10.0.0.5,61007,8080,TCP,SYN
  10.0.1.99,10.0.0.5,61008,8443,TCP,SYN
  10.0.1.99,10.0.0.5,61009,9200,TCP,SYN
  10.0.1.99,10.0.0.5,61010,27017,TCP,SYN
  10.0.1.99,10.0.0.5,61011,6379,TCP,SYN
  10.0.1.99,10.0.0.5,61012,21,TCP,SYN
  10.0.1.99,10.0.0.5,61013,110,TCP,SYN
  10.0.1.99,10.0.0.5,61014,143,TCP,SYN
  10.0.1.99,10.0.0.5,61015,993,TCP,SYN
  10.0.1.99,10.0.0.5,61016,995,TCP,SYN
  10.0.1.99,10.0.0.5,61017,3389,TCP,SYN
  10.0.1.99,10.0.0.5,61018,5900,TCP,SYN
  10.0.1.99,10.0.0.5,61019,2222,TCP,SYN
  10.0.1.99,10.0.0.5,61020,8888,TCP,SYN
  10.0.1.99,10.0.0.5,61021,4444,TCP,SYN
  10.0.1.99,10.0.0.5,61022,1433,TCP,SYN
  10.0.1.99,10.0.0.5,61023,1521,TCP,SYN
  10.0.1.99,10.0.0.5,61024,11211,TCP,SYN
  10.0.1.99,10.0.0.5,61025,2049,TCP,SYN
  10.0.1.99,10.0.0.5,61026,161,TCP,SYN
  10.0.1.99,10.0.0.5,61027,514,TCP,SYN
  10.0.1.99,10.0.0.5,61028,631,TCP,SYN
  10.0.1.99,10.0.0.5,61029,548,TCP,SYN
  172.16.0.77,10.0.0.2,50000,80,TCP,SYN
  172.16.0.77,10.0.0.2,50001,80,TCP,SYN
  172.16.0.77,10.0.0.2,50002,80,TCP,SYN
  172.16.0.77,10.0.0.2,50003,80,TCP,SYN
  172.16.0.77,10.0.0.2,50004,80,TCP,SYN
  172.16.0.77,10.0.0.2,50005,80,TCP,SYN
  172.16.0.77,10.0.0.2,50006,80,TCP,SYN
  172.16.0.77,10.0.0.2,50007,80,TCP,SYN
